"region","sector","Year","co2.emiss","scenario"
"AL","comm heating","1990",0.475985356004694,"NEWdac_netzero_usa_global_ssp2_highEV"
"AR","comm heating","1990",0.306872694417402,"NEWdac_netzero_usa_global_ssp2_highEV"
"AZ","comm heating","1990",0.205612730701107,"NEWdac_netzero_usa_global_ssp2_highEV"
"CA","comm heating","1990",2.45425878189365,"NEWdac_netzero_usa_global_ssp2_highEV"
"CO","comm heating","1990",0.727022869401945,"NEWdac_netzero_usa_global_ssp2_highEV"
"CT","comm heating","1990",0.555730687916129,"NEWdac_netzero_usa_global_ssp2_highEV"
"DC","comm heating","1990",0.283643486954182,"NEWdac_netzero_usa_global_ssp2_highEV"
"DE","comm heating","1990",0.126105409991805,"NEWdac_netzero_usa_global_ssp2_highEV"
"FL","comm heating","1990",0.195980606281226,"NEWdac_netzero_usa_global_ssp2_highEV"
"GA","comm heating","1990",0.559882205689329,"NEWdac_netzero_usa_global_ssp2_highEV"
"HI","comm heating","1990",0.008370974,"NEWdac_netzero_usa_global_ssp2_highEV"
"IA","comm heating","1990",0.763795396358201,"NEWdac_netzero_usa_global_ssp2_highEV"
"ID","comm heating","1990",0.201524663503482,"NEWdac_netzero_usa_global_ssp2_highEV"
"IL","comm heating","1990",2.38207965887639,"NEWdac_netzero_usa_global_ssp2_highEV"
